id,Institute,WorkArea,cease_date,separationtype,Contributing Factors. Career Move - Public Sector ,Contributing Factors. Career Move - Private Sector ,Contributing Factors. Career Move - Self-employment,Contributing Factors. Ill Health,Contributing Factors. Maternity/Family,Contributing Factors. Dissatisfaction,Contributing Factors. Job Dissatisfaction,Contributing Factors. Interpersonal Conflict,Contributing Factors. Study,Contributing Factors. Travel,Contributing Factors. Other,Contributing Factors. NONE,gender,age,employment_status,position,institute_service,role_service
6.34235863003594e+17,Barrier Reef Institute of TAFE,Delivery (teaching),2010.0,Transfer,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,51-55,Temporary Full-time,Teacher (including LVT),3-4,1-2
6.34238426001094e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Retrenchment/ Redundancy,,,,,,,,,,,,,Female,51-55,Temporary Full-time,Administration (AO),1-2,1-2
6.342393039825e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Transfer,-,-,-,Ill Health,-,-,-,-,-,-,-,-,Female,31  35,Temporary Full-time,Administration (AO),1-2,1-2
6.34241795347656e+17,Central Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Male,41  45,Contract/casual,Teacher (including LVT),Less than 1 year,Less than 1 year
6.34243628858726e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,46  50,Permanent Full-time,Administration (AO),7-10,7-10
6.34243664081406e+17,Barrier Reef Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,Male,41  45,Temporary Part-time,Teacher (including LVT),5-6,5-6
6.34245133689063e+17,Barrier Reef Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,NONE,Female,41  45,Permanent Full-time,Administration (AO),5-6,3-4
6.34250266309976e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,Female,20 or younger,Contract/casual,Administration (AO),Less than 1 year,Less than 1 year
6.34250409172945e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,Female,56 or older,Contract/casual,Teacher (including LVT),3-4,3-4
6.34251116016226e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,26  30,Permanent Full-time,Administration (AO),7-10,1-2
6.34251290130132e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,Ill Health,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,Interpersonal Conflict,-,-,-,-,Female,41  45,Permanent Part-time,Administration (AO),3-4,3-4
6.34257448030289e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,,,,,
6.3425975246732e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,31  35,Contract/casual,Administration (AO),Less than 1 year,Less than 1 year
6.34260719918915e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,41  45,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34263394624001e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),,Contract Expired,,,,,,,,,,,,,,,,,,
6.34266079365634e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,Ill Health,-,-,-,-,-,-,-,-,,,,,,
6.34266938733603e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,31  35,Permanent Full-time,Administration (AO),11-20,11-20
6.3426772590329e+17,Central Queensland Institute of TAFE,Delivery (teaching),,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,56 or older,Permanent Full-time,Teacher (including LVT),11-20,11-20
6.34267873855009e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
6.34268423021657e+17,Central Queensland Institute of TAFE,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,Male,51-55,Contract/casual,Teacher (including LVT),Less than 1 year,Less than 1 year
6.34268446707283e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,Job Dissatisfaction,-,-,-,Other,-,Female,31  35,Temporary Part-time,Administration (AO),Less than 1 year,Less than 1 year
6.34268641051884e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,Interpersonal Conflict,-,-,-,-,,,,,,
6.34269438105095e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,Study,-,-,-,Male,21  25,Contract/casual,Administration (AO),1-2,1-2
6.34272910039626e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Retirement,-,-,-,-,-,-,-,-,-,-,-,NONE,Female,56 or older,Permanent Part-time,Administration (AO),11-20,11-20
6.34273756721501e+17,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,-,-,-,Female,46  50,Permanent Full-time,Professional Officer (PO),5-6,5-6
6.34274542281501e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,Ill Health,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,-,-,-,,,,,,
6.34274566132353e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,-,-,Ill Health,-,Contributing Factors. Dissatisfaction ,-,Interpersonal Conflict,-,-,-,-,,,,,,
6.34275489048845e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2010.0,Resignation,-,-,-,-,Maternity/Family,Contributing Factors. Dissatisfaction ,Job Dissatisfaction,Interpersonal Conflict,-,-,-,-,Female,36  40,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
6.34280719819371e+17,Wide Bay Institute of TAFE,Non-Delivery (corporate),,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,Female,36  40,Permanent Full-time,Administration (AO),11-20,11-20
6.34281400568746e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,41  45,Permanent Full-time,Professional Officer (PO),3-4,3-4
6.34281450090309e+17,Mount Isa Institute of TAFE,Non-Delivery (corporate),2010.0,Termination,,,,,,,,,,,,,Female,51-55,Temporary Full-time,Administration (AO),1-2,1-2
6.34284989401715e+17,Southbank Institute of Technology,Non-Delivery (corporate),2010.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Male,36  40,Contract/casual,Executive (SES/SO),Less than 1 year,Less than 1 year
6.34285674608023e+17,Brisbane North Institute of TAFE,Delivery (teaching),2010.0,Contract Expired,,,,,,,,,,,,,Male,41  45,Temporary Full-time,Workplace Training Officer,1-2,1-2
6.34285909851304e+17,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Resignation,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,Other,-,Female,26  30,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34285952710835e+17,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Transfer,Career Move - Public Sector,-,-,-,-,-,-,-,-,-,-,-,,,,,,
6.34286548594429e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2010.0,Contract Expired,,,,,,,,,,,,,,,,,,
6.34286658782965e+17,Southbank Institute of Technology,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,,,,,,
6.34297824199371e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),,Resignation,-,-,-,-,-,Contributing Factors. Dissatisfaction ,-,-,-,Travel,-,-,,,,,,
6.34298884567184e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Female,26  30,Permanent Full-time,Administration (AO),7-10,7-10
6.34304735958746e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Male,21  25,Contract/casual,Technical Officer (TO),Less than 1 year,Less than 1 year
6.34309981362554e+17,Central Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,-,NONE,Male,56 or older,Permanent Full-time,Teacher (including LVT),11-20,More than 20 years
6.3431012128271e+17,Southern Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,41  45,Temporary Part-time,Administration (AO),Less than 1 year,Less than 1 year
6.34310942921246e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,Travel,-,-,Male,41  45,Temporary Full-time,Operational (OO),11-20,11-20
6.34314358367965e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,-,-,-,-,-,-,-,-,-,Other,-,Female,31  35,Temporary Full-time,Administration (AO),Less than 1 year,Less than 1 year
6.34315046486772e+17,Central Queensland Institute of TAFE,Non-Delivery (corporate),2011.0,Contract Expired,,,,,,,,,,,,,Female,36  40,Contract/casual,Administration (AO),1-2,Less than 1 year
6.34316886387496e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,Career Move - Private Sector,-,-,Maternity/Family,-,-,-,-,-,-,-,Male,46  50,Permanent Full-time,Teacher (including LVT),3-4,3-4
6.34317688380679e+17,Sunshine Coast Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,Study,-,-,-,Female,26  30,Permanent Full-time,Administration (AO),3-4,Less than 1 year
6.34317845042866e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Transfer,-,-,-,-,Maternity/Family,-,-,-,-,-,-,-,Female,56 or older,Permanent Full-time,Teacher (including LVT),5-6,1-2
6.34322927651559e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Male,51-55,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
6.3432311502146e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Male,51-55,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
6.34323709021402e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Resignation,-,-,-,-,-,-,Job Dissatisfaction,-,-,-,-,-,Male,51-55,Temporary Full-time,Teacher (including LVT),Less than 1 year,Less than 1 year
6.34323732465523e+17,Southern Queensland Institute of TAFE,Delivery (teaching),2011.0,Termination,,,,,,,,,,,,,Female,46  50,Permanent Full-time,Administration (AO),7-10,7-10
6.34323806434371e+17,Brisbane North Institute of TAFE,Non-Delivery (corporate),2011.0,Resignation,-,Career Move - Private Sector,-,-,-,-,-,-,-,-,-,-,Female,46  50,Contract/casual,Administration (AO),3-4,3-4
