id,separationtype,cease_date,dete_start_date,role_start_date,position,classification,region,business_unit,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,dissatisfaction_with_the_department,physical_work_environment,lack_of_recognition,lack_of_job_security,work_location,employment_conditions,maternity/family,relocation,study/travel,ill_health,traumatic_incident,work_life_balance,workload,none_of_the_above,gender,age,aboriginal,torres_strait,south_sea,disability,nesb,institute_service,dissatisfied
117,Resignation-Other reasons,2012.0,1976.0,1976.0,,,South East,,Permanent Full-time,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,56-60,,,,,,36.0,True
119,Resignation-Other employer,2012.0,2010.0,2010.0,Teacher,Secondary,,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,46-50,,,,,,2.0,True
125,Resignation-Other employer,2012.0,2012.0,2012.0,Public Servant,A01-A04,Darling Downs South West,,Permanent Part-time,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,Female,36-40,,,,,,0.0,True
127,Resignation-Other reasons,2012.0,1980.0,1989.0,Teacher,Secondary,South East,,Permanent Full-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,51-55,,,,,,32.0,True
131,Resignation-Other employer,2012.0,2012.0,2012.0,Public Servant,AO5-AO7,Central Office,Information and Technologies,Temporary Full-time,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Male,51-55,,,,,,0.0,True
133,Resignation-Other reasons,2012.0,2007.0,2010.0,Cleaner,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,,,,,,5.0,True
136,Resignation-Other reasons,2012.0,1994.0,1994.0,Teacher Aide,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,56-60,,,,,,18.0,True
139,Resignation-Other employer,2012.0,2004.0,2005.0,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,,8.0,False
141,Resignation-Other employer,2012.0,,,Teacher Aide,,Metropolitan,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,51-55,,,,,,,False
146,Resignation-Other reasons,2012.0,2007.0,2007.0,Cleaner,,,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,Male,61 or older,,,,,,5.0,False
148,Resignation-Other employer,2012.0,2003.0,2003.0,Public Servant,A01-A04,Metropolitan,,Permanent Full-time,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,Male,26-30,,,,,,9.0,True
159,Resignation-Other employer,2012.0,2011.0,2011.0,Public Servant,A01-A04,Central Office,Other,Temporary Part-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,,,,,,1.0,False
161,Resignation-Other reasons,2012.0,2003.0,2003.0,Cleaner,,South East,,Permanent Part-time,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,41-45,,,,,,9.0,True
165,Resignation-Other employer,2012.0,2005.0,2009.0,Teacher Aide,,Central Queensland,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,,,,,,7.0,True
180,Resignation-Other reasons,2012.0,2012.0,2012.0,Cleaner,,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,36-40,,,,,,0.0,True
184,Resignation-Other reasons,2012.0,1998.0,1998.0,Cleaner,,Far North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,61 or older,,,Yes,,,14.0,True
186,Resignation-Other reasons,2012.0,2005.0,2005.0,Cleaner,,,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,31-35,,,,,,7.0,True
190,Resignation-Other employer,2012.0,2006.0,2007.0,Public Servant,AO8 and Above,Central Office,Other,Permanent Full-time,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,Female,41-45,Yes,,,,,6.0,True
193,Resignation-Other reasons,2012.0,1995.0,2001.0,Teacher Aide,,Far North Queensland,,Permanent Full-time,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Female,46-50,,,,,,17.0,False
196,Resignation-Other employer,2012.0,1989.0,2010.0,Technical Officer,,North Coast,,Permanent Full-time,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,,,,,,23.0,False
197,Resignation-Other reasons,2012.0,,,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,46-50,,,,,,,False
198,Resignation-Other employer,2012.0,2005.0,2005.0,Public Servant,A01-A04,South East,,Permanent Full-time,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Female,31-35,,,,,,7.0,True
205,Resignation-Other employer,2012.0,2008.0,2010.0,Public Servant,A01-A04,Central Office,Finance,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,21-25,,,,,,4.0,False
206,Resignation-Other reasons,2012.0,2006.0,2006.0,Teacher Aide,,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,36-40,,,,,,6.0,True
211,Resignation-Move overseas/interstate,2012.0,2007.0,2007.0,Professional Officer,PO1-PO4,North Coast,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,51-55,,,,,,5.0,False
213,Resignation-Other reasons,2012.0,1986.0,1997.0,Teacher,Secondary,Metropolitan,,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Male,61 or older,,,,,,26.0,True
215,Resignation-Other reasons,2012.0,1999.0,2011.0,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,,,,,,,13.0,False
224,Resignation-Other reasons,2012.0,1996.0,2006.0,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,,51-55,,,,,,16.0,True
225,Resignation-Other reasons,2012.0,2009.0,2009.0,Teacher,Secondary,,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,36-40,,,,,,3.0,True
229,Resignation-Other reasons,2012.0,1994.0,2012.0,Cleaner,Primary,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,Male,56-60,,,,,,18.0,True
236,Resignation-Move overseas/interstate,2012.0,2009.0,2009.0,Technical Officer,,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,21-25,,,,,,3.0,False
248,Resignation-Move overseas/interstate,2013.0,2007.0,2007.0,"School Based Professional Staff (Therapist, nurse, etc)",PO1-PO4,South East,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Female,26-30,,,,,,6.0,False
249,Resignation-Move overseas/interstate,2012.0,2011.0,2011.0,Teacher,Primary,Far North Queensland,,Temporary Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,31-35,,,,,,1.0,False
251,Resignation-Other reasons,2013.0,2006.0,2006.0,Teacher,Primary,,,Permanent Full-time,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,Male,26-30,,,,,,7.0,True
255,Resignation-Other reasons,2012.0,2000.0,2012.0,Teacher,Secondary,Central Queensland,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,Female,31-35,,,,,,12.0,True
256,Resignation-Other employer,2012.0,2008.0,2012.0,Cleaner,,South East,,Permanent Part-time,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,46-50,,,,,,4.0,True
257,Resignation-Move overseas/interstate,2012.0,2005.0,2005.0,Teacher Aide,,,,Permanent Part-time,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,46-50,,,,,,7.0,True
258,Resignation-Other reasons,2012.0,2012.0,2012.0,Public Servant,A01-A04,Darling Downs South West,,Temporary Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,21-25,,,,,,0.0,False
259,Resignation-Other employer,2012.0,2007.0,2007.0,Teacher,Secondary,Central Office,Education Queensland,Permanent Full-time,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Female,26-30,,,,,,5.0,True
260,Resignation-Move overseas/interstate,2012.0,2008.0,2008.0,Schools Officer,,Metropolitan,,Permanent Full-time,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Male,41-45,,,,,,4.0,True
263,Resignation-Move overseas/interstate,2013.0,2011.0,2011.0,Teacher,Secondary,South East,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,Male,36-40,,,,,,2.0,True
264,Resignation-Move overseas/interstate,2013.0,2009.0,2012.0,Teacher,Special Education,North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,21-25,,,,,,4.0,False
265,Resignation-Other reasons,2012.0,2011.0,2011.0,School Administrative Staff,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,20 or younger,Yes,,,,,1.0,False
268,Resignation-Other employer,2012.0,2011.0,2011.0,Cleaner,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Female,36-40,,,,,,1.0,False
269,Resignation-Move overseas/interstate,2012.0,2011.0,2012.0,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,Female,31-35,,,,,,1.0,False
270,Resignation-Other reasons,2012.0,2010.0,2010.0,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,26-30,,,,,,2.0,False
274,Resignation-Other reasons,2012.0,1991.0,2007.0,Teacher,Primary,Central Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,,21.0,False
275,Resignation-Other employer,2013.0,2011.0,2011.0,Public Servant,A01-A04,,,Temporary Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,,2.0,False
280,Resignation-Other reasons,2012.0,1992.0,1992.0,Cleaner,,,,Permanent Part-time,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,Female,61 or older,,,,,,20.0,True
284,Resignation-Other employer,2012.0,2007.0,2007.0,Teacher,Secondary,North Coast,,Permanent Full-time,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Female,26-30,,,,,,5.0,True
285,Resignation-Other employer,2012.0,2007.0,2008.0,Teacher,Secondary,North Coast,,Permanent Full-time,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Female,31-35,,,,,,5.0,True
286,Resignation-Move overseas/interstate,2012.0,2012.0,2012.0,Cleaner,,,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Female,,,,,,,0.0,False
287,Resignation-Other employer,2012.0,2012.0,2012.0,Teacher Aide,,,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,,0.0,False
289,Resignation-Move overseas/interstate,2013.0,,,Public Servant,AO5-AO7,Central Office,Education Queensland,Permanent Full-time,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,Female,26-30,,,,,,,True
292,Resignation-Other employer,2013.0,,,Teacher Aide,,,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,56-60,,,,,,,False
294,Resignation-Move overseas/interstate,2012.0,,,Schools Officer,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,,61 or older,,,,,,,False
296,Resignation-Move overseas/interstate,2012.0,1980.0,2003.0,Teacher,Special Education,Central Office,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,Female,51-55,,,,,,32.0,True
297,Resignation-Other employer,2012.0,2006.0,2009.0,Technical Officer,,North Coast,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,41-45,,,,,,6.0,False
301,Resignation-Move overseas/interstate,2012.0,1996.0,1996.0,Teacher,Primary,Darling Downs South West,,Permanent Part-time,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,Female,51-55,,,,,,16.0,True
302,Resignation-Other employer,2012.0,,,School Administrative Staff,,,,Permanent Part-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,46-50,,,,,,,False
304,Resignation-Other reasons,2012.0,2005.0,2011.0,Cleaner,,South East,,Permanent Part-time,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,51-55,,,,,,7.0,True
305,Resignation-Other employer,2013.0,2009.0,2009.0,Teacher,Secondary,Central Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Male,46-50,,,,,,4.0,False
312,Resignation-Other employer,2013.0,2001.0,2007.0,Teacher,Secondary,North Queensland,,Permanent Full-time,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,36-40,,,,,,12.0,True
313,Resignation-Other reasons,2013.0,1999.0,2012.0,Teacher,Primary,North Coast,,Permanent Part-time,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,Female,36-40,,,,,,14.0,True
315,Resignation-Other employer,2013.0,2001.0,2006.0,Teacher,Primary,,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,,12.0,False
318,Resignation-Other employer,2012.0,1989.0,1989.0,Teacher,,Metropolitan,,Permanent Full-time,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Male,41-45,,,,,,23.0,False
319,Resignation-Other reasons,2012.0,2012.0,2012.0,School Administrative Staff,,North Queensland,,Permanent Part-time,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Female,46-50,,,,,,0.0,True
321,Resignation-Other reasons,2012.0,2011.0,2011.0,Cleaner,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,26-30,,,,,,1.0,True
323,Resignation-Other employer,2013.0,2007.0,2007.0,Teacher,Middle,Metropolitan,,Permanent Full-time,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Male,26-30,,,,,,6.0,True
325,Resignation-Other reasons,2012.0,2011.0,2011.0,Teacher Aide,,South East,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,21-25,,,,,,1.0,False
326,Resignation-Other employer,2012.0,2000.0,2004.0,Teacher Aide,,Darling Downs South West,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,46-50,,,,,,12.0,False
327,Resignation-Other reasons,2012.0,2008.0,2008.0,Cleaner,,North Queensland,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,36-40,,,,,Yes,4.0,False
333,Resignation-Other reasons,2012.0,2011.0,2011.0,Cleaner,,,,Permanent Full-time,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,Female,21-25,,,,,,1.0,True
334,Resignation-Other employer,2012.0,2012.0,2012.0,School Administrative Staff,,South East,,Temporary Part-time,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,Female,51-55,,,,,,0.0,True
341,Resignation-Other reasons,2013.0,2005.0,2012.0,Teacher,Primary,North Coast,,Permanent Full-time,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,Male,26-30,,,,,,8.0,True
344,Resignation-Other employer,2012.0,,,School Administrative Staff,,Metropolitan,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,41-45,,,,,Yes,,False
346,Resignation-Other employer,2012.0,1988.0,1988.0,Teacher,Primary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Female,41-45,,,,,,24.0,True
348,Resignation-Other employer,2012.0,2008.0,2008.0,Head of Curriculum/Head of Special Education,,North Queensland,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Female,36-40,,,,,Yes,4.0,False
349,Resignation-Other reasons,2013.0,1980.0,1999.0,Teacher,Secondary,,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,Male,56-60,,,,,,33.0,True
355,Resignation-Other employer,2013.0,2007.0,2007.0,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,Male,26-30,,,,,,6.0,True
356,Resignation-Other reasons,2013.0,1992.0,1992.0,Teacher Aide,,,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Female,56-60,,,,,,21.0,False
357,Resignation-Move overseas/interstate,2013.0,2003.0,2011.0,Teacher,Secondary,North Queensland,,Permanent Part-time,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Female,31-35,,,,,,10.0,False
366,Resignation-Other reasons,2012.0,,,Teacher,Secondary,Metropolitan,,Permanent Full-time,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Male,26-30,,,,,,,False
367,Resignation-Move overseas/interstate,2013.0,2010.0,2010.0,Teacher,Secondary,South East,,Permanent Full-time,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Male,21-25,,,,,,3.0,True
